9th and Cherry,First Hill,one block north of Harborview
Behind Dick's Drive-in,Capitol Hill,115 Broadway E
Pike and Broadway,Capitol Hill,near Walgreen's
3rd and Harrison,Queen Anne,300 3rd Ave. W
Roundabout South of Big Fish Games,Queen Anne,333 Elliot Ave. W
Starbucks HQ,SoDo,2401 Utah Ave. S
Safeco Field,SoDo,Edgar Martinez Dr. S & Occidental Ave. S
Cascade Peoples Center,South Lake Union,309 Pontius Ave. N
KeyBank Belltown Branch,Belltown,2500 First Ave.
Chase Bank on 1st,Belltown,2701 First Ave.
Indoor Sun Shoppe,Fremont,160 N. Canal St.
Evo,Fremont,122 NW 36th St.
Phinney Neighborhood Assoc.,Phinney Ridge,6532 Phinney Ave. N
16th and Dravus,Interbay,
Georgetown Trailer Park Mall,Georgetown,947 Doris St.
Kenyon Center,Bellevue,3326 160th Ave. SE
600 106th Ave. NE,Bellevue,
10525 Willows Rd. NE,Redmond,
4th and Dayton,Edmonds,
618 Park Ave. N,Renton,Import-and-Sorts
