Skillet,http://www.skilletstreetfood.com,skilletstfood,http://www.facebook.com/pages/skillet-street-food/39513639587,skillet-seattle,American
Marination,http://www.marinationmobile.com,curb_cuisine,http://www.facebook.com/marinationmobile,marination-mobile-seattle,Korean,Hawaiian,Barbeque
Street Treats,http://streettreatswa.com/,streettreatswa,http://www.facebook.com/pages/Street-Treats/288710694215,street-treats-seattle,Pastry
Where Ya At,http://sites.google.com/a/whereyaatmatt.com/www/,whereyaatmatt,http://www.facebook.com/pages/Where-Ya-At-Matt/117800614897339,where-ya-at-matt-seattle,Cajun
Fusion on the Run,,fusionontherun,http://www.facebook.com/fusionontherun,,Thai
Buns on Wheels,http://bunsonwheels.com/,bunsonwheels,http://www.facebook.com/bunsburger,,American,Burgers
Here and There Grill,http://hereandtheregrill.com/,heretheregrill,,,American
The Bistro Box,http://bistrobox.net/,bistrobox,http://www.facebook.com/bistrobox,,American,Comfort Food
Kaosamai,http://www.kaosamai.com/,thaifoodtruck,,,Thai
Pai's,http://paifoods.com/,paifoods,,,Thai,Hawaiian
Lumpia World,http://www.lumpiaworld.com,LumpiaWorld,http://www.facebook.com/pages/Renton-WA/Lumpia-World/173390752107,,Phillipino
Hallava Falafel,http://hallavafalafel.com/,,,hallava-falafel-seattle,Mediterranean
